%              t      Ex(x=4.8m)     Ex(x=10.5m)      Ex(x=100m)      Ex(x=200m)      Ex(x=300m)
   2.2321429e-03   3.1694963e-07   3.5062500e-07   3.5189706e-07   3.0963081e-07   2.5799867e-07
   2.3437500e-03   2.9989927e-07   3.2835303e-07   3.2848873e-07   2.9077253e-07   2.4429005e-07
   2.4553571e-03   2.8372537e-07   3.0807640e-07   3.0749103e-07   2.7368948e-07   2.3168877e-07
   2.5669643e-03   2.6854287e-07   2.8961579e-07   2.8858232e-07   2.5816542e-07   2.2008170e-07
   2.6785714e-03   2.5438034e-07   2.7279367e-07   2.7149163e-07   2.4401500e-07   2.0936910e-07
   2.7901786e-03   2.4121713e-07   2.5744224e-07   2.5599010e-07   2.3107953e-07   1.9946242e-07
   2.9017857e-03   2.2900550e-07   2.4340750e-07   2.4188320e-07   2.1922178e-07   1.9028350e-07
   3.0133929e-03   2.1768439e-07   2.3055070e-07   2.2900526e-07   2.0832359e-07   1.8176306e-07
   3.1250000e-03   2.0718795e-07   2.1874762e-07   2.1721418e-07   1.9828212e-07   1.7383935e-07
   3.3482143e-03   1.8899254e-07   1.9856849e-07   1.9711905e-07   1.8099037e-07   1.5998413e-07
   3.5714286e-03   1.7315449e-07   1.8119241e-07   1.7985055e-07   1.6599286e-07   1.4780207e-07
   3.7946429e-03   1.5930141e-07   1.6612535e-07   1.6489647e-07   1.5289705e-07   1.3703436e-07
   4.0178571e-03   1.4712333e-07   1.5297431e-07   1.5185486e-07   1.4139078e-07   1.2746911e-07
   4.2410714e-03   1.3636416e-07   1.4142481e-07   1.4040747e-07   1.3122286e-07   1.1893258e-07
   4.4642857e-03   1.2681237e-07   1.3122358e-07   1.3029959e-07   1.2218985e-07   1.1128075e-07
   4.6875000e-03   1.1829324e-07   1.2216528e-07   1.2132550e-07   1.1412561e-07   1.0439377e-07
   4.9107143e-03   1.1066170e-07   1.1408201e-07   1.1331789e-07   1.0689340e-07   9.8171546e-08
   5.1339286e-03   1.0379703e-07   1.0683573e-07   1.0613922e-07   1.0038001e-07   9.2529630e-08
   5.3571429e-03   9.7598151e-08   1.0031192e-07   9.9676029e-08   9.4490827e-08   8.7396644e-08
   5.5803571e-03   9.1980030e-08   9.4415380e-08   9.3833604e-08   8.9146554e-08   8.2711876e-08
   5.8035714e-03   8.6870778e-08   8.9065969e-08   8.8532660e-08   8.4280148e-08   7.8423435e-08
   6.0267857e-03   8.2209325e-08   8.4196171e-08   8.3706312e-08   7.9834678e-08   7.4486762e-08
   6.2500000e-03   7.7943512e-08   7.9748658e-08   7.9297812e-08   7.5761525e-08   7.0863398e-08
   6.6964286e-03   7.0679447e-08   7.2199260e-08   7.1812425e-08   6.8810561e-08   6.4633866e-08
   7.1428571e-03   6.4441878e-08   6.5734569e-08   6.5400568e-08   6.2829634e-08   5.9238027e-08
   7.5892857e-03   5.9044055e-08   6.0153694e-08   5.9863608e-08   5.7643932e-08   5.4531726e-08
   8.0357143e-03   5.4339703e-08   5.5300121e-08   5.5046766e-08   5.3116254e-08   5.0400556e-08
   8.4821429e-03   5.0212987e-08   5.1050487e-08   5.0828050e-08   4.9137768e-08   4.6752877e-08
   8.9285714e-03   4.6571308e-08   4.7306595e-08   4.7110319e-08   4.5621294e-08   4.3514583e-08
   9.3750000e-03   4.3339943e-08   4.3989482e-08   4.3815486e-08   4.2496352e-08   4.0625315e-08
   9.8214286e-03   4.0458093e-08   4.1035107e-08   4.0880184e-08   3.9705507e-08   3.8035492e-08
   1.0267857e-02   3.7875873e-08   3.8391123e-08   3.8252597e-08   3.7201555e-08   3.5704072e-08
   1.0714286e-02   3.5552086e-08   3.6014342e-08   3.5890004e-08   3.4945421e-08   3.3596914e-08
   1.1160714e-02   3.3452437e-08   3.3868960e-08   3.3756933e-08   3.2904542e-08   3.1685362e-08
   1.1607143e-02   3.1548192e-08   3.1925010e-08   3.1823730e-08   3.1051597e-08   2.9945265e-08
   1.2053571e-02   2.9815156e-08   3.0157321e-08   3.0065445e-08   2.9363531e-08   2.8356151e-08
   1.2500000e-02   2.8232799e-08   2.8544567e-08   2.8460970e-08   2.7820765e-08   2.6900511e-08
   1.3392857e-02   2.5548064e-08   2.5811675e-08   2.5741226e-08   2.5199078e-08   2.4417716e-08
   1.4285714e-02   2.3250179e-08   2.3475164e-08   2.3415266e-08   2.2951974e-08   2.2282631e-08
   1.5178571e-02   2.1267520e-08   2.1461162e-08   2.1409827e-08   2.1010624e-08   2.0432597e-08
